length	count
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	2358
36	97
37	144
38	129
39	134
40	149
41	140
42	161
43	177
44	201
45	223
46	215
47	237
48	251
49	242
50	225
51	259
52	264
53	281
54	312
55	351
56	324
57	351
58	350
59	341
60	371
61	367
62	377
63	415
64	393
65	467
66	433
67	422
68	456
69	459
70	499
71	492
72	482
73	477
74	499
75	575
76	618
77	551
78	649
79	568
80	589
81	628
82	681
83	628
84	655
85	651
86	670
87	707
88	743
89	763
90	750
91	821
92	763
93	772
94	764
95	849
96	887
97	849
98	916
99	985
100	986
101	946
102	987
103	947
104	1005
105	977
106	1029
107	1094
108	1115
109	1199
110	1184
111	1175
112	1190
113	1203
114	1127
115	1295
116	1280
117	1323
118	1311
119	1422
120	1454
121	1380
122	1416
123	1462
124	1513
125	1465
126	1552
127	1643
128	1593
129	1658
130	1643
131	1811
132	1735
133	1676
134	1819
135	1835
136	1801
137	1793
138	1840
139	1947
140	1937
141	2016
142	2114
143	2011
144	2024
145	2073
146	2113
147	2128
148	2235
149	2184
150	2276
151	2302
152	2465
153	2472
154	2415
155	2403
156	2402
157	2438
158	2474
159	2600
160	2512
161	2670
162	2727
163	2824
164	2777
165	2851
166	2914
167	2802
168	2862
169	2925
170	2987
171	2996
172	3131
173	3149
174	3137
175	3208
176	3214
177	3239
178	3204
179	3242
180	3286
181	3319
182	3356
183	3466
184	3388
185	3617
186	3422
187	3500
188	3644
189	3496
190	3644
191	3624
192	3615
193	3696
194	3745
195	3850
196	3636
197	4028
198	3896
199	3824
200	3896
201	3963
202	3983
203	4047
204	4091
205	3992
206	4170
207	4071
208	4168
209	4130
210	4206
211	4277
212	4260
213	4395
214	4292
215	4387
216	4349
217	4444
218	4440
219	4591
220	4435
221	4513
222	4603
223	4588
224	4539
225	4492
226	4677
227	4688
228	4566
229	4680
230	4656
231	4814
232	4736
233	4790
234	4835
235	5039
236	4823
237	4977
238	5573
239	5087
240	5835
241	7710
242	6240
243	9414
244	18150
245	9424
246	23656
247	65388
248	29546
249	56893
250	274092
251	729646
