name	J	A	K	L	B	D	Y	V	T	M	N	Z	W	U	O	C	G	E	F	H	I	P	Q	R	S	total
Geobacter_bemidjiensis_Bem_uid58749	161	1	125	129	3	28	0	45	336	246	81	2	0	102	124	358	115	186	58	122	92	146	41	306	779	4057
Geobacter_FRC_32_uid58543	158	1	138	116	3	26	0	46	294	228	78	0	0	74	123	329	98	171	55	121	88	132	41	307	716	3798
Geobacter_lovleyi_SZ_uid58713	158	0	127	193	2	33	0	52	322	205	69	0	0	94	119	248	92	169	63	110	67	123	34	279	661	3685
Geobacter_M18_uid55771	162	1	144	157	2	29	0	58	393	273	82	1	0	100	139	363	108	219	57	121	94	134	35	307	905	4434
Geobacter_M21_uid59037	162	1	126	146	3	29	0	48	347	239	87	1	0	98	131	350	112	183	59	121	88	122	38	307	795	4080
Geobacter_metallireducens_GS_15_uid57731	164	0	110	197	2	28	0	38	257	218	76	0	0	79	120	344	90	162	57	113	117	109	39	264	669	3566
Geobacter_sulfurreducens_KN400_uid161977	160	0	109	117	2	31	0	47	286	202	72	2	0	77	125	275	89	183	56	107	61	127	34	251	653	3322
Geobacter_sulfurreducens_PCA_uid57743	161	0	112	147	2	31	0	47	286	202	74	2	0	79	129	282	90	183	57	109	61	129	33	255	677	3430
